

Training : at 	1527268860.927873
 Epoch :0, 	Average cost:2.616984486579895

 Dev Accuracy : 46.0
 Average Dev Cost : 
 1.8224
[torch.cuda.FloatTensor of size 1 (GPU 0)]


 Testing : 
 Input 			 Prediction 	 Actual
car:set			mero	random-v
pub:drink			mero	mero
bag:case			coord	coord
gun:fire			mero	event
garlic:parsley			coord	coord
hospital:new			mero	attri
pub:restaurant			coord	coord
cottage:visit			mero	event
sofa:table			coord	coord
restaurant:bar			mero	mero
stove:heat			mero	event
train:ferry			coord	coord
oven:cook			coord	event
cod:fish			coord	event
sheep:goat			coord	coord
phone:call			mero	event
television:screen			mero	mero
pine:tree			coord	hyper
oven:toaster			coord	coord
car:passenger			mero	mero
knife:spoon			coord	coord
restaurant:drink			mero	event
car:garden			mero	random-n
car:top			mero	mero
horse:head			mero	mero
car:van			mero	coord
table:th			coord	random-n
castle:house			mero	hyper
flute:saxophone			coord	coord
chair:desk			coord	coord
sword:weapon			coord	hyper
restaurant:chef			mero	mero
cottage:floor			mero	mero
desk:work			coord	event
bus:passenger			mero	mero
celery:garlic			coord	coord
chair:table			coord	coord
box:store			coord	event
bed:round			mero	attri
pub:building			mero	hyper
phone:dial			mero	mero
clarinet:cello			coord	coord
hotel:bedroom			mero	mero
hotel:cottage			mero	coord
restaurant:bar			mero	coord
bed:chair			coord	coord
ferry:train			coord	coord
rifle:gun			coord	hyper
castle:site			mero	hyper
 Test Accuracy :49.16943521594684
 Epoch :2, 	Average cost:2.2904520285756966

 Dev Accuracy : 53.0
 Average Dev Cost : 
 1.6236
[torch.cuda.FloatTensor of size 1 (GPU 0)]


 Testing : 
 Input 			 Prediction 	 Actual
bed:mattress			coord	mero
bottle:milk			mero	mero
freezer:dishwasher			coord	coord
table:support			mero	event
lion:tiger			mero	coord
bottle:beer			mero	mero
box:inside			mero	mero
hospital:work			mero	event
box:side			mero	mero
guitar:bass			mero	coord
violin:flute			coord	coord
hotel:castle			mero	coord
hotel:villa			coord	coord
box:wood			mero	mero
pub:table			mero	mero
rifle:gun			coord	coord
van:vehicle			coord	hyper
car:motorcycle			mero	coord
sword:dagger			coord	coord
bus:truck			mero	coord
car:truck			mero	coord
restaurant:castle			coord	coord
coat:scarf			coord	coord
car:train			mero	coord
flute:bass			coord	coord
butterfly:moth			coord	coord
bag:paper			mero	mero
sofa:chair			mero	coord
car:park			mero	event
car:transport			mero	hyper
horse:cow			mero	coord
dolphin:whale			coord	coord
box:paper			mero	mero
banana:apple			coord	coord
library:open			mero	event
oven:grill			coord	mero
library:company			mero	random-n
rabbit:pig			mero	coord
truck:bus			coord	coord
piano:clarinet			coord	coord
fox:head			mero	mero
flute:trumpet			coord	coord
train:great			mero	random-j
cow:milk			mero	event
phone:talk			mero	event
hotel:variety			mero	random-n
box:basket			coord	coord
car:corner			mero	random-n
hospital:construction			mero	hyper
chair:support			coord	event
hospital:center			mero	mero
radio:broadcast			coord	event
cauliflower:broccoli			mero	coord
piano:violin			coord	coord
television:new			mero	attri
desk:bed			coord	coord
restaurant:manager			mero	mero
car:oil			mero	mero
willow:poplar			mero	coord
carrot:onion			coord	coord
tuna:fish			coord	event
sheep:breed			coord	event
dishwasher:freezer			coord	coord
car:back			mero	mero
bus:transport			mero	hyper
sheep:cow			coord	coord
fighter:aircraft			coord	hyper
car:plate			mero	mero
pine:oak			coord	coord
piano:string			mero	mero
stereo:digital			coord	attri
hat:top			coord	mero
shirt:socks			mero	coord
villa:hotel			coord	coord
television:sound			mero	event
box:container			mero	hyper
dress:hat			coord	coord
chair:study			coord	event
goose:duck			coord	coord
car:break			mero	event
hawk:eagle			coord	coord
box:school			coord	random-n
pub:hotel			coord	coord
crow:nest			coord	event
pub:beer			mero	mero
sheep:deer			coord	coord
car:engine			mero	mero
hospital:chapel			mero	mero
chair:back			coord	mero
cow:pig			coord	coord
bull:eye			coord	mero
train:board			mero	event
pub:work			mero	event
shirt:cotton			mero	mero
cottage:door			mero	mero
phone:new			mero	attri
bowl:soup			mero	mero
guitar:trumpet			coord	coord
birch:pine			coord	coord
bowl:glass			mero	mero
guitar:piano			mero	coord
hotel:old			mero	attri
cottage:kitchen			mero	mero
hammer:nail			mero	coord
elephant:giraffe			coord	coord
saxophone:clarinet			mero	coord
salmon:herring			coord	coord
hotel:stay			mero	event
rifle:ammunition			mero	mero
onion:cook			coord	event
car:fuel			mero	event
table:furniture			coord	hyper
herring:salmon			coord	coord
jacket:leather			mero	mero
hotel:drink			mero	event
box:plastic			mero	mero
hotel:show			mero	random-n
stove:oven			coord	coord
bus:hospital			coord	random-n
broccoli:beans			coord	coord
car:floor			mero	mero
pig:head			mero	mero
piano:sound			coord	event
car:light			mero	mero
sheep:milk			mero	event
cottage:roof			mero	mero
chair:new			coord	attri
hospital:hotel			coord	coord
car:photo			mero	random-n
hospital:practice			mero	random-n
hotel:great			mero	random-j
bed:furniture			coord	hyper
library:new			mero	attri
piano:saxophone			coord	coord
table:new			coord	attri
oak:wood			coord	mero
car:turn			mero	event
onion:celery			coord	coord
library:centre			coord	random-v
flute:cello			coord	coord
library:staff			mero	mero
train:carriage			coord	mero
car:driver			mero	mero
hotel:lady			mero	random-n
bull:director			coord	random-n
trout:fish			coord	event
car:motorbike			mero	coord
box:lid			mero	mero
castle:home			mero	hyper
car:bicycle			mero	coord
washer:freezer			coord	coord
hospital:bed			mero	mero
bus:board			mero	event
pigeon:dove			mero	coord
car:use			mero	event
horse:mule			mero	coord
television:digital			mero	attri
piano:trumpet			coord	coord
hospital:state			mero	random-n
oven:freezer			mero	coord
bus:work			mero	event
cottage:standard			mero	random-n
radio:system			mero	hyper
fridge:dishwasher			coord	coord
vulture:hawk			coord	coord
piano:organ			coord	coord
dress:clothes			coord	hyper
phone:mobile			mero	attri
tuna:fish			coord	hyper
box:colour			mero	mero
television:phone			coord	coord
car:work			mero	event
horse:dog			coord	coord
castle:wall			mero	mero
train:track			mero	mero
gun:ammunition			mero	mero
restaurant:door			mero	mero
castle:room			mero	mero
guitar:flute			mero	coord
coat:collar			mero	mero
bus:high			mero	random-j
horse:elephant			coord	coord
ferry:travel			mero	event
eagle:nest			coord	event
pub:bar			mero	coord
jacket:hat			mero	coord
car:race			mero	event
hat:jacket			coord	coord
pub:food			mero	mero
cathedral:site			mero	hyper
sheep:animal			mero	hyper
goods:services			coord	random-n
car:ride			mero	event
bear:head			mero	mero
television:broadcast			coord	event
hospital:purpose			mero	random-n
restaurant:pub			coord	coord
truck:car			coord	coord
guitar:voice			mero	random-n
bowl:mix			mero	event
yacht:boat			mero	hyper
library:construction			mero	hyper
saxophone:trumpet			coord	coord
dress:music			mero	random-n
hat:brim			mero	mero
car:windscreen			mero	mero
library:computer			mero	mero
clarinet:horn			coord	coord
guitar:harmonica			coord	coord
lemon:orange			coord	coord
trumpet:trombone			coord	coord
cottage:furniture			mero	mero
hospital:staff			mero	mero
mackerel:fish			coord	hyper
elephant:lion			mero	coord
hotel:close			mero	event
car:bike			mero	coord
chair:work			coord	event
hammer:anvil			coord	coord
bus:use			mero	event
library:old			mero	attri
giraffe:zebra			coord	coord
jar:lid			mero	mero
desk:chair			mero	coord
phone:use			mero	event
cottage:wood			mero	mero
hotel:luxury			mero	attri
phone:button			mero	mero
cottage:hotel			coord	coord
dress:jacket			coord	coord
bus:front			mero	mero
hotel:desk			mero	mero
castle:king			mero	mero
rabbit:hare			mero	coord
violin:clarinet			coord	coord
restaurant:person			mero	mero
saxophone:guitar			coord	coord
castle:prince			mero	mero
box:pack			mero	event
hotel:inn			coord	coord
car:front			mero	mero
car:crash			mero	event
restaurant:hotel			coord	coord
ambulance:call			mero	event
violin:cello			coord	coord
dove:pigeon			coord	coord
hotel:wood			mero	mero
chair:labour			mero	random-n
cottage:accommodation			mero	hyper
spinach:broccoli			mero	coord
apple:pear			coord	coord
wardrobe:clothes			coord	mero
car:set			mero	random-v
pub:drink			mero	mero
bag:case			mero	coord
gun:fire			mero	event
garlic:parsley			coord	coord
hospital:new			mero	attri
pub:restaurant			coord	coord
cottage:visit			mero	event
sofa:table			coord	coord
restaurant:bar			mero	mero
stove:heat			mero	event
train:ferry			coord	coord
oven:cook			mero	event
cod:fish			coord	event
sheep:goat			coord	coord
phone:call			mero	event
television:screen			mero	mero
pine:tree			coord	hyper
oven:toaster			coord	coord
car:passenger			mero	mero
knife:spoon			coord	coord
restaurant:drink			mero	event
car:garden			mero	random-n
car:top			mero	mero
horse:head			mero	mero
car:van			mero	coord
table:th			coord	random-n
castle:house			mero	hyper
flute:saxophone			coord	coord
chair:desk			coord	coord
sword:weapon			coord	hyper
restaurant:chef			mero	mero
cottage:floor			mero	mero
desk:work			mero	event
bus:passenger			mero	mero
celery:garlic			coord	coord
chair:table			coord	coord
box:store			coord	event
bed:round			mero	attri
pub:building			mero	hyper
phone:dial			mero	mero
clarinet:cello			coord	coord
hotel:bedroom			mero	mero
hotel:cottage			mero	coord
restaurant:bar			mero	coord
bed:chair			coord	coord
ferry:train			coord	coord
rifle:gun			coord	hyper
castle:site			mero	hyper
 Test Accuracy :49.501661129568106
 Epoch :3, 	Average cost:2.196204119607022

 Dev Accuracy : 55.00000000000001
 Average Dev Cost : 
 1.5571
[torch.cuda.FloatTensor of size 1 (GPU 0)]


 Testing : 
 Input 			 Prediction 	 Actual
bed:mattress			coord	mero
bottle:milk			mero	mero
freezer:dishwasher			coord	coord
table:support			coord	event
lion:tiger			coord	coord
bottle:beer			mero	mero
box:inside			mero	mero
hospital:work			mero	event
box:side			mero	mero
guitar:bass			coord	coord
violin:flute			coord	coord
hotel:castle			coord	coord
hotel:villa			coord	coord
box:wood			mero	mero
pub:table			mero	mero
rifle:gun			coord	coord
van:vehicle			coord	hyper
car:motorcycle			mero	coord
sword:dagger			coord	coord
bus:truck			mero	coord
car:truck			mero	coord
restaurant:castle			coord	coord
coat:scarf			coord	coord
car:train			mero	coord
flute:bass			coord	coord
butterfly:moth			coord	coord
bag:paper			mero	mero
sofa:chair			coord	coord
car:park			event	event
car:transport			mero	hyper
horse:cow			coord	coord
dolphin:whale			coord	coord
box:paper			mero	mero
banana:apple			coord	coord
library:open			mero	event
oven:grill			coord	mero
library:company			mero	random-n
rabbit:pig			coord	coord
truck:bus			coord	coord
piano:clarinet			coord	coord
fox:head			mero	mero
flute:trumpet			coord	coord
train:great			mero	random-j
cow:milk			mero	event
phone:talk			mero	event
hotel:variety			mero	random-n
box:basket			coord	coord
car:corner			mero	random-n
hospital:construction			mero	hyper
chair:support			coord	event
hospital:center			mero	mero
radio:broadcast			coord	event
cauliflower:broccoli			mero	coord
piano:violin			coord	coord
television:new			mero	attri
desk:bed			coord	coord
restaurant:manager			mero	mero
car:oil			mero	mero
willow:poplar			coord	coord
carrot:onion			coord	coord
tuna:fish			coord	event
sheep:breed			coord	event
dishwasher:freezer			coord	coord
car:back			mero	mero
bus:transport			mero	hyper
sheep:cow			coord	coord
fighter:aircraft			coord	hyper
car:plate			mero	mero
pine:oak			coord	coord
piano:string			coord	mero
stereo:digital			coord	attri
hat:top			coord	mero
shirt:socks			mero	coord
villa:hotel			coord	coord
television:sound			mero	event
box:container			mero	hyper
dress:hat			coord	coord
chair:study			event	event
goose:duck			coord	coord
car:break			mero	event
hawk:eagle			coord	coord
box:school			coord	random-n
pub:hotel			coord	coord
crow:nest			coord	event
pub:beer			mero	mero
sheep:deer			coord	coord
car:engine			mero	mero
hospital:chapel			coord	mero
chair:back			coord	mero
cow:pig			coord	coord
bull:eye			coord	mero
train:board			mero	event
pub:work			mero	event
shirt:cotton			mero	mero
cottage:door			mero	mero
phone:new			mero	attri
bowl:soup			mero	mero
guitar:trumpet			coord	coord
birch:pine			coord	coord
bowl:glass			mero	mero
guitar:piano			coord	coord
hotel:old			mero	attri
cottage:kitchen			mero	mero
hammer:nail			mero	coord
elephant:giraffe			coord	coord
saxophone:clarinet			mero	coord
salmon:herring			coord	coord
hotel:stay			mero	event
rifle:ammunition			mero	mero
onion:cook			coord	event
car:fuel			mero	event
table:furniture			coord	hyper
herring:salmon			coord	coord
jacket:leather			mero	mero
hotel:drink			mero	event
box:plastic			mero	mero
hotel:show			mero	random-n
stove:oven			coord	coord
bus:hospital			coord	random-n
broccoli:beans			coord	coord
car:floor			mero	mero
pig:head			mero	mero
piano:sound			coord	event
car:light			mero	mero
sheep:milk			mero	event
cottage:roof			mero	mero
chair:new			coord	attri
hospital:hotel			coord	coord
car:photo			mero	random-n
hospital:practice			mero	random-n
hotel:great			mero	random-j
bed:furniture			coord	hyper
library:new			mero	attri
piano:saxophone			coord	coord
table:new			coord	attri
oak:wood			coord	mero
car:turn			mero	event
onion:celery			coord	coord
library:centre			coord	random-v
flute:cello			coord	coord
library:staff			mero	mero
train:carriage			coord	mero
car:driver			mero	mero
hotel:lady			mero	random-n
bull:director			coord	random-n
trout:fish			coord	event
car:motorbike			mero	coord
box:lid			mero	mero
castle:home			mero	hyper
car:bicycle			mero	coord
washer:freezer			coord	coord
hospital:bed			mero	mero
bus:board			mero	event
pigeon:dove			mero	coord
car:use			mero	event
horse:mule			mero	coord
television:digital			coord	attri
piano:trumpet			coord	coord
hospital:state			mero	random-n
oven:freezer			mero	coord
bus:work			mero	event
cottage:standard			mero	random-n
radio:system			mero	hyper
fridge:dishwasher			coord	coord
vulture:hawk			coord	coord
piano:organ			coord	coord
dress:clothes			coord	hyper
phone:mobile			coord	attri
tuna:fish			coord	hyper
box:colour			mero	mero
television:phone			coord	coord
car:work			mero	event
horse:dog			coord	coord
castle:wall			mero	mero
train:track			mero	mero
gun:ammunition			mero	mero
restaurant:door			mero	mero
castle:room			mero	mero
guitar:flute			mero	coord
coat:collar			mero	mero
